"last_name, first_name",player_id,year,woba,est_woba,est_woba_minus_woba_diff
"Semien, Marcus",543760,2021,0.368,0.336,0.032
"Merrifield, Whit",593160,2021,0.306,0.301,0.005
"Guerrero Jr., Vladimir",665489,2021,0.419,0.421,-0.002
"Freeman, Freddie",518692,2021,0.379,0.416,-0.037
"Edman, Tommy",669242,2021,0.301,0.316,-0.015
"Haniger, Mitch",571745,2021,0.34,0.353,-0.013
"Bichette, Bo",666182,2021,0.354,0.355,-0.001
"Crawford, J.P.",641487,2021,0.314,0.298,0.016000000000000014
"Albies, Ozzie",645277,2021,0.336,0.329,0.007
"LeMahieu, DJ",518934,2021,0.315,0.34,-0.025
"Goldschmidt, Paul",502671,2021,0.373,0.397,-0.024
"Altuve, Jose",514888,2021,0.357,0.332,0.024999999999999967
"Kiner-Falefa, Isiah",643396,2021,0.293,0.292,0.001
"Mullins, Cedric",656775,2021,0.372,0.344,0.028000000000000025
"Schoop, Jonathan",570731,2021,0.324,0.311,0.013000000000000012
"Olson, Matt",621566,2021,0.379,0.378,0.001
"Grossman, Robbie",543257,2021,0.337,0.334,0.003
"Seager, Kyle",572122,2021,0.308,0.319,-0.011
"Perez, Salvador",521692,2021,0.359,0.374,-0.015
"Fletcher, David",664058,2021,0.273,0.28,-0.007
"Devers, Rafael",646240,2021,0.373,0.394,-0.021
"Riley, Austin",663586,2021,0.379,0.366,0.013000000000000012
"Abreu, José",547989,2021,0.354,0.349,0.005
"Santana, Carlos",467793,2021,0.294,0.335,-0.041
"Soto, Juan",665742,2021,0.42,0.429,-0.009
"Swanson, Dansby",621020,2021,0.322,0.332,-0.01
"Arenado, Nolan",571448,2021,0.336,0.311,0.025000000000000022
"France, Ty",664034,2021,0.353,0.346,0.007
"Reynolds, Bryan",668804,2021,0.385,0.386,-0.001
"Turner, Trea",607208,2021,0.386,0.364,0.022
"Polanco, Jorge",593871,2021,0.349,0.348,0.001
"Cronenworth, Jake",630105,2021,0.341,0.344,-0.003
"Lowe, Nathaniel",663993,2021,0.337,0.323,0.014000000000000012
"Correa, Carlos",621043,2021,0.364,0.373,-0.009
"Machado, Manny",592518,2021,0.35,0.38,-0.03
"Ohtani, Shohei",660271,2021,0.393,0.408,-0.015
"Frazier, Adam",624428,2021,0.341,0.324,0.017000000000000015
"Straw, Myles",664702,2021,0.311,0.303,0.008
"Alonso, Pete",624413,2021,0.363,0.377,-0.014
"Hernández, César",514917,2021,0.302,0.311,-0.009
"Ramírez, José",608070,2021,0.372,0.376,-0.004
"Martinez, J.D.",502110,2021,0.364,0.374,-0.01
"Judge, Aaron",592450,2021,0.387,0.418,-0.031
"India, Jonathan",663697,2021,0.363,0.352,0.011
"Candelario, Jeimer",600869,2021,0.344,0.356,-0.012
"Canha, Mark",592192,2021,0.333,0.332,0.001
"Chapman, Matt",656305,2021,0.311,0.321,-0.01
"García, Adolis",666969,2021,0.314,0.299,0.015000000000000013
"Carlson, Dylan",666185,2021,0.336,0.322,0.014000000000000012
"Moncada, Yoán",660162,2021,0.347,0.353,-0.006
"Gallo, Joey",608336,2021,0.348,0.352,-0.004
"Mancini, Trey",641820,2021,0.326,0.341,-0.015
"Lowe, Brandon",664040,2021,0.363,0.36,0.003
"Turner, Justin",457759,2021,0.358,0.359,-0.001
"Gurriel, Yuli",493329,2021,0.363,0.326,0.037
"Verdugo, Alex",657077,2021,0.334,0.34,-0.006
"Arozarena, Randy",668227,2021,0.35,0.304,0.045999999999999985
"Bogaerts, Xander",593428,2021,0.368,0.359,0.009
"Soler, Jorge",624585,2021,0.323,0.359,-0.036
"Harper, Bryce",547180,2021,0.431,0.43,0.001
"Escobar, Eduardo",500871,2021,0.334,0.328,0.006
"Alvarez, Yordan",670541,2021,0.369,0.389,-0.02
"McMahon, Ryan",641857,2021,0.334,0.325,0.009
"Hernández, Teoscar",606192,2021,0.369,0.37,-0.001
"Story, Trevor",596115,2021,0.341,0.335,0.006
"Muncy, Max",571970,2021,0.379,0.407,-0.028
"Meadows, Austin",640457,2021,0.327,0.326,0.001
"Rosario, Amed",642708,2021,0.315,0.3,0.015000000000000013
"Mountcastle, Ryan",663624,2021,0.335,0.326,0.009
"Bryant, Kris",592178,2021,0.356,0.346,0.010000000000000009
