"last_name, first_name",player_id,year,woba,est_woba,est_woba_minus_woba_diff
"Reynolds, Bryan",668804,2020,0.278,0.314,-0.036
"Hernández, Teoscar",606192,2020,0.384,0.401,-0.017
"Villar, Jonathan",542340,2020,0.266,0.261,0.005
"García, Avisaíl",541645,2020,0.296,0.317,-0.021
"Riley, Austin",663586,2020,0.307,0.342,-0.035
"Candelario, Jeimer",600869,2020,0.373,0.356,0.017
"Tapia, Raimel",606132,2020,0.338,0.285,0.053
"Sanó, Miguel",593934,2020,0.317,0.326,-0.009
"Adames, Willy",642715,2020,0.347,0.307,0.04
"Ruiz, Rio",547004,2020,0.303,0.277,0.026
"Solano, Donovan",456781,2020,0.357,0.32,0.037
"Acuña Jr., Ronald",660670,2020,0.413,0.42,-0.007
"White, Evan",657108,2020,0.261,0.292,-0.031
"Profar, Jurickson",595777,2020,0.335,0.338,-0.003
"Arenado, Nolan",571448,2020,0.308,0.288,0.02
"Moran, Colin",592567,2020,0.34,0.35,-0.01
"Smith, Dominic",642086,2020,0.412,0.392,0.02
"Gonzalez, Marwin",503556,2020,0.269,0.314,-0.045
"Soto, Juan",665742,2020,0.478,0.475,0.003
"Kepler, Max",596146,2020,0.328,0.34,-0.012
"Marte, Ketel",606466,2020,0.316,0.306,0.01
"Realmuto, J.T.",592663,2020,0.361,0.356,0.005
"Grandal, Yasmani",518735,2020,0.338,0.327,0.011
"McMahon, Ryan",641857,2020,0.308,0.296,0.012
"Crawford, Brandon",543063,2020,0.334,0.309,0.025
"González, Erik",570481,2020,0.262,0.293,-0.031
"Cronenworth, Jake",630105,2020,0.356,0.393,-0.037
"Lopez, Nicky",670032,2020,0.254,0.287,-0.033
"Grossman, Robbie",543257,2020,0.351,0.328,0.023
"Vázquez, Christian",543877,2020,0.346,0.285,0.061
"Arcia, Orlando",606115,2020,0.317,0.338,-0.021
"Robles, Victor",645302,2020,0.273,0.262,0.011
"Brantley, Michael",488726,2020,0.362,0.325,0.037
"Dozier, Hunter",641531,2020,0.326,0.331,-0.005
"Hoskins, Rhys",656555,2020,0.382,0.381,0.001
"Tsutsugo, Yoshi",660294,2020,0.309,0.325,-0.016
"d'Arnaud, Travis",518595,2020,0.392,0.385,0.007
"Hampson, Garrett",641658,2020,0.29,0.297,-0.007
"Nola, Austin",543592,2020,0.352,0.361,-0.009
"Gordon, Alex",460086,2020,0.275,0.301,-0.026
"Wendle, Joey",621563,2020,0.335,0.304,0.031
"Akiyama, Shogo",673451,2020,0.304,0.315,-0.011
"Winker, Jesse",608385,2020,0.396,0.397,-0.001
"Canó, Robinson",429664,2020,0.376,0.353,0.023
"Heyward, Jason",518792,2020,0.368,0.381,-0.013
"Encarnación, Edwin",429665,2020,0.272,0.277,-0.005
"Bohm, Alec",664761,2020,0.381,0.357,0.024
"Shaw, Travis",543768,2020,0.31,0.323,-0.013
"Bregman, Alex",608324,2020,0.345,0.332,0.013
"Belt, Brandon",474832,2020,0.427,0.422,0.005
"Goodrum, Niko",592348,2020,0.262,0.265,-0.003
"Sánchez, Gary",596142,2020,0.271,0.314,-0.043
"Severino, Pedro",600474,2020,0.312,0.337,-0.025
"Dubón, Mauricio",643289,2020,0.318,0.319,-0.001
"Schoop, Jonathan",570731,2020,0.34,0.3,0.04
"Eaton, Adam",594809,2020,0.287,0.303,-0.016
"Turner, Justin",457759,2020,0.376,0.403,-0.027
"Ohtani, Shohei",660271,2020,0.29,0.331,-0.041
"Polanco, Gregory",570256,2020,0.232,0.301,-0.069
"Soler, Jorge",624585,2020,0.332,0.354,-0.022
"DeJong, Paul",657557,2020,0.296,0.315,-0.019
"Urshela, Gio",570482,2020,0.365,0.379,-0.014
"Newman, Kevin",621028,2020,0.251,0.29,-0.039
"Frazier, Todd",453943,2020,0.3,0.294,0.006
"Piscotty, Stephen",572039,2020,0.273,0.293,-0.02
"Miller, Brad",543543,2020,0.349,0.377,-0.028
"Dickerson, Alex",543105,2020,0.394,0.356,0.038
"Carpenter, Matt",572761,2020,0.293,0.33,-0.037
"Upton, Justin",457708,2020,0.307,0.329,-0.022
"Santander, Anthony",623993,2020,0.364,0.358,0.006
"Maldonado, Martín",455117,2020,0.326,0.316,0.01
"Goodwin, Brian",571718,2020,0.305,0.298,0.007
"Pujols, Albert",405395,2020,0.282,0.299,-0.017
