"last_name, first_name",player_id,year,woba,est_woba,est_woba_minus_woba_diff
"Semien, Marcus",543760,2023,0.354,0.333,0.020999999999999963
"Acuña Jr., Ronald",660670,2023,0.428,0.46,-0.032
"Freeman, Freddie",518692,2023,0.411,0.408,0.003
"Lowe, Nathaniel",663993,2023,0.34,0.339,0.001
"Bregman, Alex",608324,2023,0.351,0.351,0
"Schwarber, Kyle",656941,2023,0.35,0.364,-0.014
"Olson, Matt",621566,2023,0.413,0.392,0.020999999999999963
"Kwan, Steven",680757,2023,0.313,0.317,-0.004
"Riley, Austin",663586,2023,0.363,0.365,-0.002
"Rodríguez, Julio",677594,2023,0.347,0.345,0.002
"Soto, Juan",665742,2023,0.395,0.408,-0.013
"Suárez, Eugenio",553993,2023,0.313,0.324,-0.011
"Witt Jr., Bobby",677951,2023,0.343,0.369,-0.026
"Betts, Mookie",605141,2023,0.416,0.407,0.009
"Happ, Ian",664023,2023,0.345,0.35,-0.005
"Turner, Trea",607208,2023,0.333,0.33,0.003
"Ramírez, José",608070,2023,0.346,0.359,-0.013
"Hoerner, Nico",663538,2023,0.322,0.311,0.011
"Rutschman, Adley",668939,2023,0.352,0.373,-0.021
"Goldschmidt, Paul",502671,2023,0.35,0.367,-0.017
"Lindor, Francisco",596019,2023,0.346,0.346,0
"Torkelson, Spencer",679529,2023,0.326,0.352,-0.026
"Springer, George",543807,2023,0.32,0.332,-0.012
"Nimmo, Brandon",607043,2023,0.359,0.352,0.007
"Guerrero Jr., Vladimir",665489,2023,0.34,0.378,-0.038
"Thomas, Lane",657041,2023,0.334,0.319,0.015000000000000013
"Hernández, Teoscar",606192,2023,0.317,0.336,-0.019
"Tucker, Kyle",663656,2023,0.372,0.386,-0.014
"Torres, Gleyber",650402,2023,0.346,0.362,-0.016
"Castellanos, Nick",592206,2023,0.335,0.32,0.015000000000000013
"Steer, Spencer",668715,2023,0.355,0.333,0.021999999999999964
"France, Ty",664034,2023,0.315,0.342,-0.027
"Bogaerts, Xander",593428,2023,0.343,0.318,0.025000000000000022
"Walker, Christian",572233,2023,0.351,0.339,0.011999999999999955
"Albies, Ozzie",645277,2023,0.358,0.34,0.018
"Alonso, Pete",624413,2023,0.346,0.368,-0.022
"Meneses, Joey",608841,2023,0.314,0.288,0.026000000000000023
"Devers, Rafael",646240,2023,0.359,0.38,-0.021
"Santander, Anthony",623993,2023,0.34,0.319,0.021
"Arozarena, Randy",668227,2023,0.347,0.351,-0.004
"Marte, Ketel",606466,2023,0.361,0.342,0.019
"McNeil, Jeff",643446,2023,0.314,0.294,0.020000000000000018
"Carroll, Corbin",682998,2023,0.37,0.344,0.026000000000000023
"Stott, Bryson",681082,2023,0.323,0.309,0.014000000000000012
"Reynolds, Bryan",668804,2023,0.338,0.36,-0.022
"Swanson, Dansby",621020,2023,0.325,0.345,-0.02
"Adames, Willy",642715,2023,0.311,0.335,-0.024
"Crawford, J.P.",641487,2023,0.359,0.34,0.019
"Tatis Jr., Fernando",665487,2023,0.332,0.364,-0.032
"Peña, Jeremy",665161,2023,0.31,0.305,0.005
"Yelich, Christian",592885,2023,0.353,0.362,-0.009
"García, Adolis",666969,2023,0.354,0.366,-0.012
"McMahon, Ryan",641857,2023,0.325,0.335,-0.01
"De La Cruz, Bryan",650559,2023,0.309,0.331,-0.022
"Kim, Ha-Seong",673490,2023,0.33,0.313,0.017000000000000015
"Turner, Justin",457759,2023,0.346,0.336,0.01
"Henderson, Gunnar",683002,2023,0.346,0.346,0
"Benintendi, Andrew",643217,2023,0.299,0.31,-0.011
"Santana, Carlos",467793,2023,0.323,0.308,0.015000000000000013
"Arraez, Luis",650333,2023,0.369,0.354,0.015000000000000013
"Bell, Josh",605137,2023,0.323,0.345,-0.022
"Giménez, Andrés",665926,2023,0.309,0.297,0.012
"Tovar, Ezequiel",678662,2023,0.298,0.291,0.007
"Vaughn, Andrew",683734,2023,0.321,0.319,0.002
"Abrams, CJ",682928,2023,0.306,0.304,0.002
"Arenado, Nolan",571448,2023,0.327,0.32,0.007
"Contreras, William",661388,2023,0.357,0.335,0.021999999999999964
"Bohm, Alec",664761,2023,0.329,0.343,-0.014
"Verdugo, Alex",657077,2023,0.322,0.331,-0.009
"Melendez, MJ",669004,2023,0.31,0.325,-0.015
"Machado, Manny",592518,2023,0.334,0.335,-0.001
"Volpe, Anthony",683011,2023,0.29,0.305,-0.015
"Bichette, Bo",666182,2023,0.349,0.363,-0.014
"Díaz, Yandy",650490,2023,0.402,0.383,0.019000000000000017
"Ohtani, Shohei",660271,2023,0.433,0.427,0.006
"Robert Jr., Luis",673357,2023,0.358,0.347,0.011
"Abreu, José",547989,2023,0.295,0.314,-0.019
"Merrifield, Whit",593160,2023,0.304,0.276,0.028
"Gurriel Jr., Lourdes",666971,2023,0.329,0.324,0.005
"Ozuna, Marcell",542303,2023,0.381,0.396,-0.015
"Smith, Dominic",642086,2023,0.306,0.32,-0.014
"Suzuki, Seiya",673548,2023,0.358,0.357,0.001
"Chapman, Matt",656305,2023,0.328,0.337,-0.009
"Varsho, Daulton",662139,2023,0.293,0.302,-0.009
"Yoshida, Masataka",807799,2023,0.339,0.325,0.014000000000000012
"Perez, Salvador",521692,2023,0.302,0.327,-0.025
"Correa, Carlos",621043,2023,0.309,0.33,-0.021
"Soler, Jorge",624585,2023,0.361,0.374,-0.013
"Muncy, Max",571970,2023,0.344,0.364,-0.02
"Candelario, Jeimer",600869,2023,0.346,0.318,0.028
"Paredes, Isaac",670623,2023,0.362,0.315,0.046999999999999986
"Raleigh, Cal",663728,2023,0.326,0.33,-0.004
"Outman, James",681546,2023,0.344,0.325,0.019
"Hays, Austin",669720,2023,0.33,0.309,0.021
"LeMahieu, DJ",518934,2023,0.315,0.322,-0.007
"Ruiz, Keibert",660688,2023,0.31,0.322,-0.012
"Friedl, TJ",670770,2023,0.353,0.289,0.064
"Bellinger, Cody",641355,2023,0.37,0.327,0.043
"Grisham, Trent",663757,2023,0.299,0.322,-0.023
"Taveras, Leody",665750,2023,0.316,0.319,-0.003
"Smith, Will",669257,2023,0.345,0.352,-0.007
"Renfroe, Hunter",592669,2023,0.308,0.289,0.019000000000000017
"Báez, Javier",595879,2023,0.261,0.279,-0.018
"Harper, Bryce",547180,2023,0.384,0.399,-0.015
