"last_name, first_name",player_id,year,woba,est_woba,est_woba_minus_woba_diff
"Semien, Marcus",543760,2022,0.317,0.306,0.011
"Freeman, Freddie",518692,2022,0.393,0.403,-0.01
"Turner, Trea",607208,2022,0.35,0.335,0.014999999999999958
"Guerrero Jr., Vladimir",665489,2022,0.351,0.351,0
"Lindor, Francisco",596019,2022,0.342,0.331,0.011
"Olson, Matt",621566,2022,0.344,0.347,-0.003
"Bichette, Bo",666182,2022,0.347,0.334,0.012999999999999956
"Judge, Aaron",592450,2022,0.458,0.463,-0.005
"Swanson, Dansby",621020,2022,0.337,0.337,0
"Riley, Austin",663586,2022,0.377,0.378,-0.001
"Ramírez, José",608070,2022,0.363,0.32,0.043
"Alonso, Pete",624413,2022,0.366,0.353,0.013000000000000012
"Cronenworth, Jake",630105,2022,0.318,0.303,0.015000000000000013
"Abreu, José",547989,2022,0.361,0.373,-0.012
"Nimmo, Brandon",607043,2022,0.353,0.338,0.014999999999999958
"Mullins, Cedric",656775,2022,0.315,0.288,0.027000000000000024
"Hoskins, Rhys",656555,2022,0.345,0.338,0.007
"Yelich, Christian",592885,2022,0.328,0.339,-0.011
"Rosario, Amed",642708,2022,0.311,0.31,0.001
"Schwarber, Kyle",656941,2022,0.355,0.375,-0.02
"Walker, Christian",572233,2022,0.346,0.359,-0.013
"Ohtani, Shohei",660271,2022,0.37,0.383,-0.013
"Soto, Juan",665742,2022,0.376,0.401,-0.025
"Seager, Corey",608369,2022,0.331,0.372,-0.041
"Profar, Jurickson",595777,2022,0.32,0.315,0.005
"García, Adolis",666969,2022,0.324,0.322,0.002
"Bregman, Alex",608324,2022,0.358,0.35,0.008
"Goldschmidt, Paul",502671,2022,0.419,0.367,0.052
"Bell, Josh",605137,2022,0.344,0.349,-0.005
"Santander, Anthony",623993,2022,0.336,0.352,-0.016
"Arozarena, Randy",668227,2022,0.336,0.301,0.035
"Lowe, Nathaniel",663993,2022,0.368,0.344,0.024
"Machado, Manny",592518,2022,0.382,0.341,0.041
"Verdugo, Alex",657077,2022,0.319,0.329,-0.01
"Happ, Ian",664023,2022,0.339,0.306,0.033
"Betts, Mookie",605141,2022,0.373,0.344,0.029000000000000026
"Kwan, Steven",680757,2022,0.341,0.312,0.029000000000000026
"Witt Jr., Bobby",677951,2022,0.311,0.313,-0.002
