"","Year","xwOBA_Descriptiveness","sa_xwOBA_Descriptiveness"
"1","2021","0.849430260257999","0.876743347990842"
"2","2022","0.842194922440602","0.867403119759624"
"3","2023","0.831874545166755","0.856646953708456"
"4","Average","0.841166575955119","0.866931140486307"
