"player_name","player_id","game_year","woba_denom","bbe","woba","est_woba","xwoba","sa_xwoba","xwobacon","sa_xwobacon"
"Aguilar, Jesús",542583,2023,112,73,0.282,0.247,0.244,0.239,22.4377538044376,21.9115508838634
"Beckham, Tim",542921,2022,25,16,0.071,0.181,0.204,0.213,5.09125898423056,5.32175246282191
"Berti, Jon",542932,2020,147,86,0.337,0.323,0.329,0.322,30.1340397256029,29.1751322754942
"Berti, Jon",542932,2021,270,175,0.282,0.302,0.314,0.308,60.331684667748,58.6794512536544
"Berti, Jon",542932,2022,403,269,0.298,0.306,0.324,0.314,98.8789276632945,94.919411212674
"Berti, Jon",542932,2023,419,315,0.325,0.324,0.336,0.323,120.616871098272,115.131116307287
"Brantly, Rob",542963,2021,21,16,0.177,0.202,0.214,0.209,3.79045852035755,3.68375025010071
"Burns, Andy",542992,2021,15,10,0.386,0.401,0.419,0.43,3.48634594227327,3.65503353269705
"Crawford, Brandon",543063,2020,190,126,0.334,0.309,0.306,0.305,46.2189371953102,45.9761202123543
"Crawford, Brandon",543063,2021,543,382,0.377,0.356,0.365,0.364,159.579665779892,159.278489284811
"Crawford, Brandon",543063,2022,453,311,0.289,0.287,0.299,0.29,104.680943640105,100.788808723512
"Crawford, Brandon",543063,2023,317,206,0.26,0.294,0.304,0.295,74.5175515256205,71.7120054439613
"Cron, C.J.",543068,2020,52,26,0.376,0.361,0.351,0.368,11.2584724235924,12.1340867340326
"Cron, C.J.",543068,2021,543,355,0.383,0.364,0.369,0.378,151.440816920532,156.258949991786
"Cron, C.J.",543068,2022,625,413,0.335,0.32,0.323,0.324,170.188129222802,171.106063414089
"Cron, C.J.",543068,2023,278,195,0.312,0.332,0.34,0.337,81.9275680968521,81.0651460815008
"DeSclafani, Anthony",543101,2021,55,25,0.089,0.121,0.157,0.149,5.84257346634028,5.40673093328228
"Dickerson, Alex",543105,2020,167,120,0.394,0.356,0.342,0.346,45.9828325322198,46.6076046990054
"Dickerson, Alex",543105,2021,310,206,0.313,0.337,0.341,0.334,86.1389638095723,83.8032852818028
"Dickerson, Alex",543105,2022,36,24,0.189,0.297,0.308,0.268,8.97539456373357,7.54878866665655
"Gomes, Yan",543228,2020,118,89,0.332,0.338,0.33,0.333,33.9962164888341,34.3659237267806
"Gomes, Yan",543228,2021,372,271,0.308,0.341,0.34,0.343,111.142141765026,112.21590864368
"Gomes, Yan",543228,2022,289,232,0.271,0.287,0.297,0.304,78.0076983930988,80.1139976500136
"Gomes, Yan",543228,2023,418,308,0.312,0.321,0.328,0.319,116.92561361774,112.960687579799
"Gray, Sonny",543243,2021,41,31,0.142,0.148,0.162,0.143,5.95762599917632,5.14807747771876
"Grossman, Robbie",543257,2020,189,127,0.351,0.328,0.326,0.346,44.7943879917337,48.5534219366504
"Grossman, Robbie",543257,2021,666,410,0.337,0.334,0.34,0.34,154.271517295158,154.548811967634
"Grossman, Robbie",543257,2022,477,286,0.283,0.281,0.294,0.285,96.8410692375838,92.6885913694486
"Grossman, Robbie",543257,2023,418,263,0.323,0.306,0.315,0.317,90.4535171141507,91.1701468683273
"Harrison, Josh",543281,2020,90,68,0.335,0.362,0.355,0.356,24.949219095864,25.0302648440618
"Harrison, Josh",543281,2021,558,433,0.325,0.333,0.342,0.334,156.312824607712,152.223356239646
"Harrison, Josh",543281,2022,423,319,0.305,0.284,0.301,0.304,102.652984991486,104.270390009035
"Harrison, Josh",543281,2023,114,85,0.248,0.278,0.287,0.292,26.4670555735394,27.0124413480935
"Hendricks, Kyle",543294,2021,54,33,0.13,0.13,0.177,0.152,8.18341740315314,6.83339148457153
"Hicks, Aaron",543305,2020,209,130,0.351,0.374,0.375,0.369,49.7662430720979,48.4244832854586
"Hicks, Aaron",543305,2021,126,80,0.279,0.333,0.338,0.334,31.3897516047797,30.8252749162884
"Hicks, Aaron",543305,2022,447,276,0.292,0.303,0.316,0.326,97.2224636610559,101.486428213861
"Hicks, Aaron",543305,2023,308,199,0.326,0.282,0.294,0.3,61.986492804208,63.6805382214533
"Hicks, John",543308,2021,31,23,0.384,0.361,0.369,0.438,11.4237115625482,13.5685800329854
"Higashioka, Kyle",543309,2020,48,37,0.319,0.312,0.306,0.279,14.7019459505435,13.3739030078656
"Higashioka, Kyle",543309,2021,209,133,0.272,0.343,0.347,0.337,60.5392842759505,58.6294795354812
"Higashioka, Kyle",543309,2022,245,182,0.282,0.317,0.336,0.323,73.2582439427012,70.1103166201788
"Higashioka, Kyle",543309,2023,259,172,0.293,0.309,0.317,0.325,72.2522670313449,74.378540432139
"Hosmer, Eric",543333,2020,155,116,0.359,0.366,0.363,0.363,48.5248338887747,48.5708335761024
"Hosmer, Eric",543333,2021,559,410,0.319,0.326,0.341,0.33,154.997341718214,148.813430439137
"Hosmer, Eric",543333,2022,410,313,0.313,0.311,0.325,0.315,110.134369791971,106.098115942141
"Hosmer, Eric",543333,2023,99,69,0.269,0.247,0.249,0.24,21.1045224901921,20.2984435252348
"Kipnis, Jason",543401,2020,135,75,0.326,0.282,0.284,0.303,25.0102290237479,27.5443618479663
"Lavarnway, Ryan",543432,2020,11,9,0.321,0.284,0.274,0.246,3.01276545581953,2.70116821307956
"Lavarnway, Ryan",543432,2021,29,19,0.274,0.272,0.289,0.274,7.68603411142841,7.24071048499938
"McCann, James",543510,2020,111,69,0.378,0.343,0.34,0.33,29.3613663015078,28.2174882882012
"McCann, James",543510,2021,410,262,0.281,0.28,0.295,0.285,97.7319638176412,93.5543769091858
"McCann, James",543510,2022,191,130,0.243,0.309,0.32,0.315,50.6953897979563,49.671650091405
"McCann, James",543510,2023,222,154,0.279,0.319,0.333,0.325,64.0982750485173,62.4596633982077
"Miller, Brad",543543,2020,170,97,0.349,0.377,0.377,0.364,45.1383193854385,42.9087602145839
"Miller, Brad",543543,2021,375,218,0.331,0.345,0.352,0.355,101.013708426312,102.142617635569
"Miller, Brad",543543,2022,240,152,0.263,0.269,0.284,0.28,55.4995547086106,54.5814494144477
"Miller, Brad",543543,2023,67,46,0.3,0.316,0.313,0.314,13.9621044246667,14.0606191371006
"Nola, Austin",543592,2020,183,129,0.352,0.361,0.356,0.356,51.1853405592294,51.0908864919504
"Nola, Austin",543592,2021,193,155,0.316,0.301,0.312,0.324,46.9696570157943,49.2714924408754
"Nola, Austin",543592,2022,394,296,0.29,0.305,0.32,0.322,98.8633035053768,99.6835791421717
"Nola, Austin",543592,2023,149,103,0.22,0.266,0.28,0.292,28.4572328166718,30.2669410779852
"Rendon, Anthony",543685,2020,229,157,0.395,0.39,0.388,0.389,60.1958371032887,60.3198859622245
"Rendon, Anthony",543685,2021,247,178,0.31,0.303,0.309,0.321,56.7547435979885,59.7198049466727
"Rendon, Anthony",543685,2022,191,131,0.314,0.331,0.346,0.356,48.5262239815243,50.5855495764089
"Rendon, Anthony",543685,2023,183,125,0.312,0.357,0.362,0.359,44.5305117160031,44.0495808256085
"Semien, Marcus",543760,2020,234,159,0.299,0.287,0.283,0.281,48.7058830916172,48.3303942702369
"Semien, Marcus",543760,2021,720,504,0.368,0.336,0.342,0.357,197.709375692132,209.048416277216
"Semien, Marcus",543760,2022,724,547,0.317,0.306,0.321,0.319,192.785787556466,190.925445823692
"Semien, Marcus",543760,2023,751,564,0.354,0.333,0.343,0.356,204.411355948003,213.995352825399
"Shaw, Travis",543768,2020,180,114,0.31,0.323,0.321,0.321,46.5727669536827,46.5205315626738
"Shaw, Travis",543768,2021,248,155,0.289,0.301,0.314,0.322,58.8717349395195,61.043281377245
"Springer, George",543807,2020,220,151,0.379,0.405,0.401,0.391,67.8609373847134,65.8027500271212
"Springer, George",543807,2021,341,221,0.381,0.361,0.369,0.379,97.8484749547843,101.371366809778
"Springer, George",543807,2022,581,416,0.352,0.342,0.355,0.359,164.187180477516,166.767126563283
"Springer, George",543807,2023,681,489,0.32,0.332,0.338,0.338,185.348880717531,185.386400517904
"Strange-Gordon, Dee",543829,2020,81,61,0.226,0.262,0.268,0.246,16.8338482160991,14.994839205937
"Strange-Gordon, Dee",543829,2022,59,51,0.288,0.213,0.234,0.238,13.8317903027966,14.0547291645158
"Vázquez, Christian",543877,2020,188,129,0.346,0.285,0.283,0.286,41.9292301459752,42.5697946395955
"Vázquez, Christian",543877,2021,495,377,0.289,0.276,0.283,0.287,115.376341434069,117.427036224784
"Vázquez, Christian",543877,2022,425,331,0.312,0.301,0.317,0.308,117.274378034051,113.274888939932
"Vázquez, Christian",543877,2023,351,245,0.264,0.268,0.273,0.271,78.4153198735074,77.5698427732796
"Wong, Kolten",543939,2020,204,153,0.305,0.286,0.295,0.285,44.1158597832827,42.1258447934081
"Wong, Kolten",543939,2021,491,365,0.337,0.308,0.317,0.324,125.429199915445,129.150154718305
"Wong, Kolten",543939,2022,492,348,0.336,0.305,0.319,0.331,116.568549990689,122.135619873214
"Wong, Kolten",543939,2023,249,173,0.236,0.262,0.275,0.269,52.4788373232511,50.8188953224623
"Gregorius, Didi",544369,2020,232,189,0.348,0.311,0.308,0.325,60.2492201194912,64.0911384742417
"Gregorius, Didi",544369,2021,405,306,0.275,0.275,0.28,0.281,91.1168481010425,91.4534308158275
"Gregorius, Didi",544369,2022,231,179,0.251,0.275,0.291,0.282,55.9619826674094,54.0373336758397
"García, Leury",544725,2020,63,49,0.326,0.327,0.294,0.271,15.6938908932257,14.2526365455801
"García, Leury",544725,2021,464,331,0.312,0.291,0.309,0.312,111.759501858633,113.115622837401
"García, Leury",544725,2022,311,238,0.221,0.258,0.28,0.263,79.9332089536268,74.8508413057603
"Vargas, Ildemaro",545121,2020,54,42,0.229,0.228,0.232,0.238,11.144488569719,11.439127995497
"Vargas, Ildemaro",545121,2021,82,60,0.192,0.244,0.256,0.248,17.4799645453501,16.8005415984966
"Vargas, Ildemaro",545121,2022,221,187,0.302,0.255,0.278,0.284,53.7726129822816,55.0772710252413
"Vargas, Ildemaro",545121,2023,282,245,0.292,0.303,0.322,0.311,76.8214614929975,73.8272108853921
"Bauer, Trevor",545333,2021,31,22,0.051,0.147,0.155,0.124,4.11285818828494,3.14024059833682
"Grichuk, Randal",545341,2020,228,167,0.334,0.333,0.34,0.361,69.1620196179696,73.8166224303529
"Grichuk, Randal",545341,2021,541,397,0.3,0.297,0.305,0.316,144.252145804583,150.003950545407
"Grichuk, Randal",545341,2022,535,378,0.315,0.281,0.296,0.295,137.506013529206,137.068188975521
"Grichuk, Randal",545341,2023,469,340,0.333,0.323,0.326,0.336,129.843852743116,134.368560606297
"Marisnick, Jake",545350,2020,33,22,0.402,0.238,0.239,0.274,7.17479725907051,8.32672635474586
"Marisnick, Jake",545350,2021,196,115,0.287,0.259,0.268,0.274,39.8979003968981,41.191355912252
"Marisnick, Jake",545350,2022,79,53,0.283,0.27,0.3,0.289,21.6360899284253,20.6982578555451
"Marisnick, Jake",545350,2023,82,57,0.294,0.277,0.296,0.282,20.7892074892386,19.6624502039134
"Stassi, Max",545358,2020,104,71,0.37,0.39,0.387,0.402,31.8829154082188,33.4145200482675
"Stassi, Max",545358,2021,317,180,0.327,0.323,0.332,0.327,79.9916442848101,78.3479557313595
"Stassi, Max",545358,2022,373,221,0.258,0.266,0.28,0.279,76.3379493432628,75.9985947963579
"Trout, Mike",545361,2020,234,144,0.407,0.428,0.42,0.424,74.5407037091207,75.5166794602163
"Trout, Mike",545361,2021,140,75,0.451,0.425,0.434,0.428,43.9521257747436,43.0510897916336
"Trout, Mike",545361,2022,491,300,0.418,0.395,0.408,0.414,164.013003635702,167.027274244303
"Trout, Mike",545361,2023,360,206,0.368,0.389,0.396,0.388,107.657427267442,104.767101921327
"Herrera, Odúbel",546318,2021,490,378,0.312,0.302,0.319,0.318,131.995721460908,131.538027242353
